【관청이칭표】

異稱	대표명	비고
耆社	耆老所	
耆所	耆老所	
宗簿寺	宗親府	
都堂	議政府	
黃閣	議政府	
都評議使司	議政府	
盟府	忠勳府	
雲臺	忠勳府	
功臣都鑑	忠勳府	
西樞	中樞府	
鴻樞	中樞府	
中樞院	中樞府	
駙馬府	儀賓府	
籌司	備邊司	
廟堂	備邊司	
備局	備邊司	
巡軍萬戶府	義禁府	
義勇	義禁府	
王府	義禁府	
金吾	義禁府	
天官	吏曹	
東銓	吏曹	
典理	吏曹	
文部	吏曹	
選部	吏曹	
地官	戶曹	
地部	戶曹	
倉部	戶曹	
民部	戶曹	
度支	戶曹	
版圖	戶曹	
春官	禮曹	
南宮	禮曹	
儀曹	禮曹	
禮部	禮曹	
禮儀司	禮曹	
夏官	兵曹	
兵官	兵曹	
西銓	兵曹	
騎省	兵曹	
軍簿	兵曹	
摠部	兵曹	
秋官	刑曹	
佐理方府	刑曹	
佐理方府典法	刑曹	
刑官	刑曹	
讞部	刑曹	
理部	刑曹	
冬官	工曹	
水府	工曹	
例作府	工曹	
修例	工曹	
工官	工曹	
工典	工曹	
京兆	漢城府	
內閣	奎章閣	
芸閣	校書館	
內書	校書館	
秘書	校書館	
典校	校書館	
柏府	司憲府	
霜臺	司憲府	
烏臺	司憲府	
御史臺	司憲府	
監察司	司憲府	
銀臺	承政院	
喉院	承政院	
奴婢辨定都監	掌隸院	
刑曹都監	掌隸院	
薇院	司諫院	
分司	經筵廳	
廈氈	經筵廳	
玉堂	弘文館	
玉署	弘文館	
瀛閣	弘文館	
瑞書院	弘文館	
淸燕閣	弘文館	
湖堂	讀書堂	
元鳳省	藝文館	
詞林苑	藝文館	
文翰署	藝文館	
翰林院	藝文館	
詹事府	侍講院	
澄源堂	侍講院	
春坊	侍講院	
雷肆	侍講院	
甲觀	侍講院	
率更寺	翊衛司	
桂坊	翊衛司	
太學	成均館	
國學	成均館	
國子	成均館	
知印房	尙瑞院	
政房	尙瑞院	
箚子房	尙瑞院	
符寶郞	尙瑞院	
史官	春秋館	
槐院	承文院	
司範署	通禮院	
通禮門	通禮院	
閤門	通禮院	
中門	通禮院	
鴻臚	通禮院	
典祀署	奉常寺	
太常寺	奉常寺	
典儀寺	奉常寺	
殿中省	宗簿寺	
宗正寺	宗簿寺	
尙食	司饔院	
廚院	司饔院	
司膳	司饔院	
掌服	尙衣院	
中尙	尙衣院	
供造	尙衣院	
尙方	尙衣院	
乘府	司僕寺	
司馭	司僕寺	
太僕	司僕寺	
武庫	軍器寺	
司贍庫	司贍寺	
供造署	司贍寺	
物藏省	軍資監	
寶泉省	軍資監	
小府監	軍資監	
聲音署	掌樂院	
大樂監	掌樂院	
典樂署	掌樂院	
雅樂署	掌樂院	
漏刻典	觀象監	
太卜監	觀象監	
太史局	觀象監	
司天臺	觀象監	
觀候署	觀象監	
書雲觀	觀象監	
太醫監	典醫監	
司醫署	典醫監	
尙藥	內醫院	
掌醫	內醫院	
奉醫	內醫院	
尙醫	內醫院	
藥房	內醫院	
內局	內醫院	
通文館	司譯院	
漢文都監	司譯院	
舌院	司譯院	
象院	司譯院	
將作	繕工監	
司祿館	廣興倉	
天祿司	廣興倉	
太倉署	廣興倉	
備用司	司䆃寺	
料物庫	司䆃寺	
供正庫	司䆃寺	
司津	司宰監	
都津	司宰監	
司水監	典艦司	
料物庫	內需司	
太廟	宗廟署	
寢園	宗廟署	
社稷壇	社稷署	
南別殿	永禧殿	
雜職署	濟用監	
京市署	平市署	
中部	五部	
東部	五部	
西部	五部	
南部	五部	
北部	五部	
大官	內資寺	
膳官	內資寺	
德泉庫	內贍寺	
倭典	禮賓寺	
領客舍	禮賓寺	
司賓	禮賓寺	
奉賓	禮賓寺	
尙舍局	典設司	
司設署	典設司	
內苑署	掌苑署	
典廏署	司畜署	
惠民局	惠民署	
彩典	圖畵署	
大理	典獄署	
大悲院	活人署	
瓦窯	瓦署	
陶登局	瓦署	
棺槨色	歸厚署	
翫所	耆老所	
宗府	宗親府	
巖廊	議政府	
廟堂	議政府	
政府	議政府	
麟閣勳府	忠勳府	
駙馬所	儀賓府	
惠局	宣惠廳	
選官	吏曹	
本兵	兵曹	
水曹	工曹	
松都	開城府	
留後司	開城府	
擒文院	奎章閣	
外閣	校書館	
江都	江華府	
沁都	江華府	
華城	水原府	
文垣	弘文館	
文苑	藝文館	
詞林院	藝文館	
史館	春秋館	
殿中寺	宗簿寺	
尙食司	宗簿寺	
藥院	內醫院	
尙房	尙衣院	
掌中	掌樂院	
梨園	掌樂院	
雲觀	觀象監	
譯院	司譯院	
天祿官	廣興倉	
備用司	司需寺	
料物庫	司需寺	
供正庫	司需寺	
東氷庫	氷庫	
西氷庫	氷庫	
陶登局	瓦署	
中學	四學	
東學	四學	
南學	四學	
西學	四學	
知事署	監理署	
監門衛	虎龍巡衛司	
典獄署	監獄署	
司憲臺	監察司	
司憲府	監察司	
御史臺	監察司	
講書院	世孫講書院	
輔養廳	講學廳	
開城留後司	開城府	
景福宮提擧司	典涓司	
修城府	京城周作典	
平市署	京市署	
經筵	書筵官	
京察	都目政事	
都目	都目政事	
都目政	都目政事	
都政	都目政事	
經學院	成均館	
司積	考功司	
尙書考功	考功司	
尙書工部	工官	
工曹	工官	
典工司	工官	
中尙署	供造署	고려
觀象所	觀象監	
掌樂署	慣習都監	
觀候署	司天監	
光軍都監	光軍司	
光政院	密直司	
御事都省	廣評省	
尙書都省	廣評省	
左倉	廣興倉	
成均監	國子監	
軍監	軍資監	
奎章院	奎章閣	
摛文院	奎章閣	
金吾臺	御史臺	
司憲臺	御史臺	
