
【고지명】

*지명*     한자      지명     한자   
가라홀    加羅忽    간성*     杆城*     강원
가락      駕洛      김해*     金海*     경상
가림      加林      임천*     林川*     충청
가림      嘉林      임천*     林川*     충청
가산*     嘉山*     가주      嘉州      평안
가산*     嘉山*     고덕진    古德鎭    평안
가산*     嘉山*     무령      撫寧      평안
가산*     嘉山*     신도      信都      평안
가수      嘉壽      삼가*     三嘉*     경상
가수      嘉樹      삼가*     三嘉*     경상
가야      伽倻      김해*     金海*     경상
가야      伽倻      성주*     星州*     경상
가을내    加乙乃    은진*     恩津*     충청
가주      嘉州      가산*     嘉山*     평안
가주화    加主火    삼가*     三嘉*     경상
가지나    加知奈    은진*     恩津*     충청
가평      嘉平      가평*     加平*     경기
가평*     加平*     가평      嘉平      경기
가평*     加平*     근평      斤平      경기
가평*     加平*     병평      幷平      경기
가화      嘉禾      송화*     松禾*     황해
가화압    加火押    중화*     中和*     평안
각련성    各連城    회양*     淮陽*     강원
간성*     杆城*     가라홀    加羅忽    강원
간성*     杆城*     수성      䢘城      강원
간성*     杆城*     수성      守城      강원
간성*     杆城*     수성      水城      강원
감문      甘文      개령*     開寧*     경상
감물아    甘勿阿    함열*     咸悅*     전라
감음      感陰      안음*     安陰*     경상
감주      甘州      개령*     開寧*     경상
감평      欿平      순천*     順天*     전라
갑비고차  甲比古次  강화*     江華*     경기
갑산*     甲山*     갑주      甲州      함경
갑산*     甲山*     이산      夷山      함경
갑산*     甲山*     허천      虛川      함경
갑성      岬城      장성*     長城*     전라
갑주      甲州      갑산*     甲山*     함경
갑화양곡  甲火良谷  기장*     機張*     경상
강계*     江界*     석주      石州      평안
강계*     江界*     청원      淸源      평안
강덕진    剛德鎭    성천*     成川*     평안
강도      江都      강화*     江華*     경기
강동*     江東*     송양      松壤      평안
강령      江寧      남양*     南陽*     경기
강령*     康翎*     백령      白翎      황해
강령*     康翎*     부진이    付珍伊    황해
강령*     康翎*     영강      永康      황해
강릉*     江陵*     경흥      慶興      강원
강릉*     江陵*     도원경    桃源京    강원
강릉*     江陵*     동온      東溫      강원
강릉*     江陵*     동원      東原      강원
강릉*     江陵*     명원      溟源      강원
강릉*     江陵*     명주      溟州      강원
강릉*     江陵*     북빈경    北濱京    강원
강릉*     江陵*     예국      濊國      강원
강릉*     江陵*     예국      蘂國      강원
강릉*     江陵*     임둔      臨屯      강원
강릉*     江陵*     임영      臨瀛      강원
강릉*     江陵*     철국      鐵國      강원
강릉*     江陵*     하서량    河西良    강원
강릉*     江陵*     하슬라    何瑟羅    강원
강서      江西      강음*     江陰*     황해
강서*     江西*     무학      舞鶴      평안
강성      江城      단성*     丹城*     경상
강양      江陽      합천*     陜川*     경상
강음*     江陰*     강서      江西      황해
강음*     江陰*     굴압      屈押      황해
강음*     江陰*     화산      花山      황해
강주      剛州      영천*     榮川*     경상
강주      康州      진주*     晉州*     경상
강주      降州      진천*     鎭川*     충청
강진*     康津*     금릉      金陵      전라
강진*     康津*     도강      道康      전라
강진*     康津*     도무      道武      전라
강진*     康津*     동음      冬音      전라
강진*     康津*     양무      陽武      전라
강진*     康津*     오산      鰲山      전라
강진*     康津*     탐진      耽津      전라
강화*     江華*     갑비고차  甲比古次  경기
강화*     江華*     강도      江都      경기
강화*     江華*     심주      沁州      경기
강화*     江華*     해구      海口      경기
강화*     江華*     혈구      穴口      경기
개경      開京      개성*     開城*     경기
개령*     開寧*     감문      甘文      경상
개령*     開寧*     감주      甘州      경상
개령*     開寧*     청주      靑州      경상
개백      皆伯      고양*     高陽*     경기
개산      介山      죽산*     竹山*     경기
개성*     開城*     개경      開京      경기
개성*     開城*     개주      開州      경기
개성*     開城*     동비홀    冬比忽    경기
개성*     開城*     부소갑    扶蘇岬    경기
개성*     開城*     송악      松岳      경기
개성*     開城*     촉막      蜀莫      경기
개성*     開城*     황도      皇都      경기
개주      价州      개천*     价川*     평안
개주      開州      개성*     開城*     경기
개지변    皆知邊    울산*     蔚山*     경상
개차산    皆次山    죽산*     竹山*     경기
개천*     价川*     개주      价州      평안
개천*     价川*     안수      安水      평안
개천*     价川*     연주      連州      평안
개천*     价川*     익주      翼州      평안
개천*     价川*     조양      朝陽      평안
개화      皆火      부안*     扶安*     전라
개흥      開興      배천*     白川*     황해
거서      巨黍      용인*     龍仁*     경기
거열      居烈      거창*     居昌*     경상
거열성    居列城    진주*     晉州*     경상
거제*     巨濟*     기성      岐城      경상
거제*     巨濟*     상        裳        경상
거지화    居知火    언양*     彦陽*     경상
거창*     居昌*     거열      居烈      경상
